i,j,k,cost,amplitude,lower_bound,upper_bound
INBOUND.1948-05-31,C18.1948-05-31,1,0,1,1.065,1.065
INBOUND.1948-06-30,C18.1948-06-30,0,0,1,1.710,1.710
INBOUND.1948-06-30,C18.1948-06-30,1,0,1,1.196,1.196
INBOUND.1948-07-31,C18.1948-07-31,0,0,1,2.403,2.403
INBOUND.1948-07-31,C18.1948-07-31,1,0,1,0.927,0.927
INBOUND.1948-08-31,C18.1948-08-31,0,0,1,3.064,3.064
INBOUND.1948-08-31,C18.1948-08-31,1,0,1,0.353,0.353
INBOUND.1948-09-30,C18.1948-09-30,0,0,1,0.646,0.646
INBOUND.1948-09-30,C18.1948-09-30,1,0,1,0.178,0.178
C18.1947-10-31,C20.1947-10-31,0,0.00000,1.00000,0.000,1000000000000
C18.1947-11-30,C20.1947-11-30,0,0.00000,1.00000,0.000,1000000000000
C18.1947-12-31,C20.1947-12-31,0,0.00000,1.00000,0.000,1000000000000
C18.1948-01-31,C20.1948-01-31,0,0.00000,1.00000,0.000,1000000000000
C18.1948-02-29,C20.1948-02-29,0,0.00000,1.00000,0.000,1000000000000
C18.1948-03-31,C20.1948-03-31,0,0.00000,1.00000,0.000,1000000000000
C18.1948-04-30,C20.1948-04-30,0,0.00000,1.00000,0.000,1000000000000
C18.1948-05-31,C20.1948-05-31,0,0.00000,1.00000,0.000,1000000000000
C18.1948-06-30,C20.1948-06-30,0,0.00000,1.00000,0.000,1000000000000
C18.1948-07-31,C20.1948-07-31,0,0.00000,1.00000,0.000,1000000000000
C18.1948-08-31,C20.1948-08-31,0,0.00000,1.00000,0.000,1000000000000
C18.1948-09-30,C20.1948-09-30,0,0.00000,1.00000,0.000,1000000000000
INBOUND.1947-10-31,C19.1947-10-31,0,0,1,7.390,7.390
C19.1947-10-31,OUTBOUND.1947-10-31,0,0,1,7.390,7.390
INBOUND.1947-11-30,C19.1947-11-30,0,0,1,7.390,7.390
C19.1947-11-30,OUTBOUND.1947-11-30,0,0,1,7.390,7.390
INBOUND.1947-12-31,C19.1947-12-31,0,0,1,7.390,7.390
C19.1947-12-31,OUTBOUND.1947-12-31,0,0,1,7.390,7.390
INBOUND.1948-01-31,C19.1948-01-31,0,0,1,7.390,7.390
C19.1948-01-31,OUTBOUND.1948-01-31,0,0,1,7.390,7.390
INBOUND.1948-02-29,C19.1948-02-29,0,0,1,7.390,7.390
C19.1948-02-29,OUTBOUND.1948-02-29,0,0,1,7.390,7.390
INBOUND.1948-03-31,C19.1948-03-31,0,0,1,7.390,7.390
C19.1948-03-31,OUTBOUND.1948-03-31,0,0,1,7.390,7.390
INBOUND.1948-04-30,C19.1948-04-30,0,0,1,7.390,7.390
C19.1948-04-30,OUTBOUND.1948-04-30,0,0,1,7.390,7.390
INBOUND.1948-05-31,C19.1948-05-31,0,0,1,7.390,7.390
C19.1948-05-31,OUTBOUND.1948-05-31,0,0,1,7.390,7.390
INBOUND.1948-06-30,C19.1948-06-30,0,0,1,26.338,26.338
C19.1948-06-30,OUTBOUND.1948-06-30,0,0,1,26.338,26.338
INBOUND.1948-07-31,C19.1948-07-31,0,0,1,49.598,49.598
C19.1948-07-31,OUTBOUND.1948-07-31,0,0,1,49.598,49.598
INBOUND.1948-08-31,C19.1948-08-31,0,0,1,38.511,38.511
C19.1948-08-31,OUTBOUND.1948-08-31,0,0,1,38.511,38.511
INBOUND.1948-09-30,C19.1948-09-30,0,0,1,7.390,7.390
C19.1948-09-30,OUTBOUND.1948-09-30,0,0,1,7.390,7.390
C19.1947-10-31,C20.1947-10-31,0,0.00000,1.00000,0.000,1000000000000
C19.1947-11-30,C20.1947-11-30,0,0.00000,1.00000,0.000,1000000000000
C19.1947-12-31,C20.1947-12-31,0,0.00000,1.00000,0.000,1000000000000
C19.1948-01-31,C20.1948-01-31,0,0.00000,1.00000,0.000,1000000000000
C19.1948-02-29,C20.1948-02-29,0,0.00000,1.00000,0.000,1000000000000
C19.1948-03-31,C20.1948-03-31,0,0.00000,1.00000,0.000,1000000000000
C19.1948-04-30,C20.1948-04-30,0,0.00000,1.00000,0.000,1000000000000
C19.1948-05-31,C20.1948-05-31,0,0.00000,1.00000,0.000,1000000000000
C19.1948-06-30,C20.1948-06-30,0,0.00000,1.00000,0.000,1000000000000
C19.1948-07-31,C20.1948-07-31,0,0.00000,1.00000,0.000,1000000000000
C19.1948-08-31,C20.1948-08-31,0,0.00000,1.00000,0.000,1000000000000
C19.1948-09-30,C20.1948-09-30,0,0.00000,1.00000,0.000,1000000000000
SINK.1947-10-31,SINK,0,0,1,0,1000000000000
C20.1947-10-31,SINK.1947-10-31,0,0.00000,1.00000,0.000,0.000
SINK.1947-11-30,SINK,0,0,1,0,1000000000000
C20.1947-11-30,SINK.1947-11-30,0,0.00000,1.00000,0.000,0.000
SINK.1947-12-31,SINK,0,0,1,0,1000000000000
C20.1947-12-31,SINK.1947-12-31,0,0.00000,1.00000,0.000,0.000
SINK.1948-01-31,SINK,0,0,1,0,1000000000000
C20.1948-01-31,SINK.1948-01-31,0,0.00000,1.00000,0.000,0.000
SINK.1948-02-29,SINK,0,0,1,0,1000000000000
C20.1948-02-29,SINK.1948-02-29,0,0.00000,1.00000,0.000,0.000
SINK.1948-03-31,SINK,0,0,1,0,1000000000000
C20.1948-03-31,SINK.1948-03-31,0,0.00000,1.00000,0.000,0.000
SINK.1948-04-30,SINK,0,0,1,0,1000000000000
C20.1948-04-30,SINK.1948-04-30,0,0.00000,1.00000,0.000,0.000
SINK.1948-05-31,SINK,0,0,1,0,1000000000000
C20.1948-05-31,SINK.1948-05-31,0,0.00000,1.00000,0.000,0.000
SINK.1948-06-30,SINK,0,0,1,0,1000000000000
C20.1948-06-30,SINK.1948-06-30,0,0.00000,1.00000,0.000,0.000
SINK.1948-07-31,SINK,0,0,1,0,1000000000000
C20.1948-07-31,SINK.1948-07-31,0,0.00000,1.00000,0.000,0.000
SINK.1948-08-31,SINK,0,0,1,0,1000000000000
C20.1948-08-31,SINK.1948-08-31,0,0.00000,1.00000,0.000,0.000
SINK.1948-09-30,SINK,0,0,1,0,1000000000000
C20.1948-09-30,SINK.1948-09-30,0,0.00000,1.00000,0.000,0.000
C20.1947-10-31,D55.1947-10-31,0,0.00000,1.00000,4.330,4.330
C20.1947-11-30,D55.1947-11-30,0,0.00000,1.00000,1.380,1.380
C20.1947-12-31,D55.1947-12-31,0,0.00000,1.00000,0.700,0.700
C20.1948-01-31,D55.1948-01-31,0,0.00000,1.00000,6.930,6.930
C20.1948-02-29,D55.1948-02-29,0,0.00000,1.00000,1.117,1.117
C20.1948-03-31,D55.1948-03-31,0,0.00000,1.00000,2.936,2.936
C20.1948-04-30,D55.1948-04-30,0,0.00000,1.00000,2.480,2.480
C20.1948-05-31,D55.1948-05-31,0,0.00000,1.00000,2.313,2.313
C20.1948-06-30,D55.1948-06-30,0,0.00000,1.00000,3.286,3.286
C20.1948-07-31,D55.1948-07-31,0,0.00000,1.00000,2.906,2.906
C20.1948-08-31,D55.1948-08-31,0,0.00000,1.00000,3.330,3.330
C20.1948-09-30,D55.1948-09-30,0,0.00000,1.00000,3.170,3.170
INBOUND.1947-10-31,C67.1947-10-31,0,0,1,664.471,664.471
C67.1947-10-31,OUTBOUND.1947-10-31,0,0,1,22.353,22.353
C67.1947-10-31,OUTBOUND.1947-10-31,1,0,1,0.000,0.000
INBOUND.1947-11-30,C67.1947-11-30,0,0,1,424.603,424.603
C67.1947-11-30,OUTBOUND.1947-11-30,0,0,1,0.000,0.000
