link,i,j,k,cost,amplitude,lower_bound,upper_bound
INBOUND.1921-11-30_D509.1921-11-30_2,INBOUND.1921-11-30,D509.1921-11-30,2,1000000.0,1.0,0.327,1000000000000.0
INBOUND.1921-11-30_D517.1921-11-30_0,INBOUND.1921-11-30,D517.1921-11-30,0,-1000000.0,1.0,0.0,18.000999999999994
INBOUND.1921-11-30_D517.1921-11-30_1,INBOUND.1921-11-30,D517.1921-11-30,1,0.0,1.0,18.000999999999994,18.000999999999994
INBOUND.1921-11-30_D517.1921-11-30_2,INBOUND.1921-11-30,D517.1921-11-30,2,1000000.0,1.0,18.000999999999994,1000000000000.0
INBOUND.1921-11-30_HGR08.1921-11-30_0,INBOUND.1921-11-30,HGR08.1921-11-30,0,-1000000.0,1.0,0.0,0.003
INBOUND.1921-11-30_HGR08.1921-11-30_1,INBOUND.1921-11-30,HGR08.1921-11-30,1,0.0,1.0,0.003,0.003
INBOUND.1921-11-30_HGR08.1921-11-30_2,INBOUND.1921-11-30,HGR08.1921-11-30,2,1000000.0,1.0,0.003,1000000000000.0
INBOUND.1921-11-30_WTP205.1921-11-30_0,INBOUND.1921-11-30,WTP205.1921-11-30,0,-1000000.0,1.0,0.0,10.307
INBOUND.1921-11-30_WTP205.1921-11-30_1,INBOUND.1921-11-30,WTP205.1921-11-30,1,0.0,1.0,10.307,10.307
INBOUND.1921-11-30_WTP205.1921-11-30_2,INBOUND.1921-11-30,WTP205.1921-11-30,2,1000000.0,1.0,10.307,1000000000000.0
INBOUND.1921-11-30_WWP210.1921-11-30_0,INBOUND.1921-11-30,WWP210.1921-11-30,0,-1000000.0,1.0,0.0,3.772
INBOUND.1921-11-30_WWP210.1921-11-30_1,INBOUND.1921-11-30,WWP210.1921-11-30,1,0.0,1.0,3.772,3.772
INBOUND.1921-11-30_WWP210.1921-11-30_2,INBOUND.1921-11-30,WWP210.1921-11-30,2,1000000.0,1.0,3.772,1000000000000.0
INBOUND.1921-12-31_A204.1921-12-31_0,INBOUND.1921-12-31,A204.1921-12-31,0,-1000000.0,1.0,0.0,2.64
INBOUND.1921-12-31_A204.1921-12-31_1,INBOUND.1921-12-31,A204.1921-12-31,1,0.0,1.0,2.64,2.64
INBOUND.1921-12-31_A204.1921-12-31_2,INBOUND.1921-12-31,A204.1921-12-31,2,1000000.0,1.0,2.64,1000000000000.0
INBOUND.1921-12-31_A207.1921-12-31_0,INBOUND.1921-12-31,A207.1921-12-31,0,-1000000.0,1.0,0.0,0.168
INBOUND.1921-12-31_A207.1921-12-31_1,INBOUND.1921-12-31,A207.1921-12-31,1,0.0,1.0,0.168,0.168
INBOUND.1921-12-31_A207.1921-12-31_2,INBOUND.1921-12-31,A207.1921-12-31,2,1000000.0,1.0,0.168,1000000000000.0
INBOUND.1921-12-31_C16.1921-12-31_0,INBOUND.1921-12-31,C16.1921-12-31,0,-1000000.0,1.0,0.0,0.0
INBOUND.1921-12-31_C16.1921-12-31_1,INBOUND.1921-12-31,C16.1921-12-31,1,0.0,1.0,0.0,0.0
INBOUND.1921-12-31_C16.1921-12-31_2,INBOUND.1921-12-31,C16.1921-12-31,2,1000000.0,1.0,0.0,1000000000000.0
INBOUND.1921-12-31_C18.1921-12-31_0,INBOUND.1921-12-31,C18.1921-12-31,0,-1000000.0,1.0,0.0,19.9
INBOUND.1921-12-31_C18.1921-12-31_1,INBOUND.1921-12-31,C18.1921-12-31,1,0.0,1.0,19.9,19.9
INBOUND.1921-12-31_C18.1921-12-31_2,INBOUND.1921-12-31,C18.1921-12-31,2,1000000.0,1.0,19.9,1000000000000.0
INBOUND.1921-12-31_C19.1921-12-31_0,INBOUND.1921-12-31,C19.1921-12-31,0,-1000000.0,1.0,0.0,7.39
INBOUND.1921-12-31_C19.1921-12-31_1,INBOUND.1921-12-31,C19.1921-12-31,1,0.0,1.0,7.39,7.39
INBOUND.1921-12-31_C19.1921-12-31_2,INBOUND.1921-12-31,C19.1921-12-31,2,1000000.0,1.0,7.39,1000000000000.0
INBOUND.1921-12-31_C67.1921-12-31_0,INBOUND.1921-12-31,C67.1921-12-31,0,-1000000.0,1.0,0.0,691.712
INBOUND.1921-12-31_C67.1921-12-31_1,INBOUND.1921-12-31,C67.1921-12-31,1,0.0,1.0,691.712,691.712
INBOUND.1921-12-31_C67.1921-12-31_2,INBOUND.1921-12-31,C67.1921-12-31,2,1000000.0,1.0,691.712,1000000000000.0
INBOUND.1921-12-31_D507.1921-12-31_0,INBOUND.1921-12-31,D507.1921-12-31,0,-1000000.0,1.0,0.0,1000.116
INBOUND.1921-12-31_D507.1921-12-31_1,INBOUND.1921-12-31,D507.1921-12-31,1,0.0,1.0,1000.116,1000.116
INBOUND.1921-12-31_D507.1921-12-31_2,INBOUND.1921-12-31,D507.1921-12-31,2,1000000.0,1.0,1000.116,1000000000000.0
INBOUND.1921-12-31_D509.1921-12-31_0,INBOUND.1921-12-31,D509.1921-12-31,0,-1000000.0,1.0,0.0,40.13
INBOUND.1921-12-31_D509.1921-12-31_1,INBOUND.1921-12-31,D509.1921-12-31,1,0.0,1.0,40.13,40.13
INBOUND.1921-12-31_D509.1921-12-31_2,INBOUND.1921-12-31,D509.1921-12-31,2,1000000.0,1.0,40.13,1000000000000.0
INBOUND.1921-12-31_D517.1921-12-31_0,INBOUND.1921-12-31,D517.1921-12-31,0,-1000000.0,1.0,0.0,42.23
INBOUND.1921-12-31_D517.1921-12-31_1,INBOUND.1921-12-31,D517.1921-12-31,1,0.0,1.0,42.23,42.23
INBOUND.1921-12-31_D517.1921-12-31_2,INBOUND.1921-12-31,D517.1921-12-31,2,1000000.0,1.0,42.23,1000000000000.0
INBOUND.1921-12-31_HGR08.1921-12-31_0,INBOUND.1921-12-31,HGR08.1921-12-31,0,-1000000.0,1.0,0.0,0.002
INBOUND.1921-12-31_HGR08.1921-12-31_1,INBOUND.1921-12-31,HGR08.1921-12-31,1,0.0,1.0,0.002,0.002
